loan_id,customer_id,product_type,effective_date,maturity_date,ead,pd_12m,origination_pd,lgd,days_past_due,forbearance_flag,remaining_months,recovery_cashflows,eir
1001,2001,home_loan,2023-03-04,2043-02-27,132929,0.0051,0.0046,0.41,10,N,243,"[2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658, 2658]",0.06
1002,2002,auto_loan,2017-04-01,2020-03-31,17265,0.0321,0.0273,0.42,0,N,36,"[345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345, 345]",0.07
1003,2003,auto_loan,2016-04-12,2023-04-11,42756,0.0105,0.0089,0.46,0,N,85,"[855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855]",0.06
1004,2004,personal_loan,2024-04-25,2026-04-25,44107,0.0671,0.0537,0.71,0,N,24,"[882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882, 882]",0.06
1005,2005,home_loan,2019-01-31,2035-01-27,381046,0.0091,0.0082,0.38,0,N,194,"[7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620, 7620]",0.06
1006,2006,home_loan,2018-09-30,2034-09-26,108616,0.0197,0.0177,0.39,0,N,194,"[2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172, 2172]",0.06
1007,2007,home_loan,2018-07-03,2043-06-27,431326,0.0053,0.0048,0.39,0,N,304,"[8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626, 8626]",0.05
1008,2008,auto_loan,2017-07-25,2022-07-24,43775,0.0425,0.0361,0.5,30,N,60,"[875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875, 875]",0.06
1009,2009,personal_loan,2024-04-04,2029-04-03,42686,0.0772,0.0618,0.72,30,N,60,"[853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853, 853]",0.08
1010,2010,auto_loan,2017-02-23,2024-02-22,25855,0.0422,0.0359,0.41,45,Y,85,"[517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517, 517]",0.06
